,국가,광역권,지역명,규모구분,연도,월,분양가,평당분양가,평가,날짜
0,대한민국,수도권,서울,60㎡이하,2015,10,5652,1712,비쌈,2015-10-01 00:00:00
1,대한민국,수도권,서울,60㎡초과 85㎡이하,2015,10,5882,1782,비쌈,2015-10-01 00:00:00
2,대한민국,수도권,서울,85㎡초과 102㎡이하,2015,10,5721,1733,비쌈,2015-10-01 00:00:00
3,대한민국,수도권,서울,102㎡초과,2015,10,5879,1781,비쌈,2015-10-01 00:00:00
4,대한민국,수도권,인천,60㎡이하,2015,10,3488,1056,보통,2015-10-01 00:00:00
5,대한민국,수도권,인천,60㎡초과 85㎡이하,2015,10,3119,945,보통,2015-10-01 00:00:00
6,대한민국,수도권,인천,85㎡초과 102㎡이하,2015,10,3545,1074,보통,2015-10-01 00:00:00
7,대한민국,수도권,인천,102㎡초과,2015,10,3408,1032,보통,2015-10-01 00:00:00
8,대한민국,수도권,경기,60㎡이하,2015,10,3126,947,보통,2015-10-01 00:00:00
9,대한민국,수도권,경기,60㎡초과 85㎡이하,2015,10,3239,981,보통,2015-10-01 00:00:00
10,대한민국,수도권,경기,85㎡초과 102㎡이하,2015,10,3496,1059,보통,2015-10-01 00:00:00
11,대한민국,수도권,경기,102㎡초과,2015,10,3680,1115,보통,2015-10-01 00:00:00
12,대한민국,비수도권,부산,60㎡이하,2015,10,2950,893,보통,2015-10-01 00:00:00
13,대한민국,비수도권,부산,60㎡초과 85㎡이하,2015,10,2999,908,보통,2015-10-01 00:00:00
14,대한민국,비수도권,부산,85㎡초과 102㎡이하,2015,10,2957,896,보통,2015-10-01 00:00:00
15,대한민국,비수도권,부산,102㎡초과,2015,10,3500,1060,보통,2015-10-01 00:00:00
16,대한민국,비수도권,대구,60㎡이하,2015,10,2614,792,저렴,2015-10-01 00:00:00
17,대한민국,비수도권,대구,60㎡초과 85㎡이하,2015,10,2696,816,보통,2015-10-01 00:00:00
18,대한민국,비수도권,대구,85㎡초과 102㎡이하,2015,10,2557,774,저렴,2015-10-01 00:00:00
19,대한민국,비수도권,대구,102㎡초과,2015,10,2598,787,저렴,2015-10-01 00:00:00
20,대한민국,비수도권,광주,60㎡이하,2015,10,2253,682,저렴,2015-10-01 00:00:00
21,대한민국,비수도권,광주,60㎡초과 85㎡이하,2015,10,2439,739,저렴,2015-10-01 00:00:00
22,대한민국,비수도권,광주,85㎡초과 102㎡이하,2015,10,,,FALSE,2015-10-01 00:00:00
23,대한민국,비수도권,광주,102㎡초과,2015,10,,,FALSE,2015-10-01 00:00:00
24,대한민국,비수도권,대전,60㎡이하,2015,10,2585,783,저렴,2015-10-01 00:00:00
25,대한민국,비수도권,대전,60㎡초과 85㎡이하,2015,10,2428,735,저렴,2015-10-01 00:00:00
26,대한민국,비수도권,대전,85㎡초과 102㎡이하,2015,10,2461,745,저렴,2015-10-01 00:00:00
27,대한민국,비수도권,대전,102㎡초과,2015,10,,,FALSE,2015-10-01 00:00:00
28,대한민국,비수도권,울산,60㎡이하,2015,10,2422,733,저렴,2015-10-01 00:00:00
29,대한민국,비수도권,울산,60㎡초과 85㎡이하,2015,10,3040,921,보통,2015-10-01 00:00:00
